Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
1,Louisville,BE,35-5,+32.92,117.7,84.8,65.8,-.016,+10.23,107.4,97.2,+2.15
2,Florida,SEC,29-8,+31.18,117.2,86.0,61.9,-.089,+7.00,105.6,98.6,+4.09
3,Indiana,B10,29-7,+29.31,120.8,91.5,66.0,-.021,+8.86,106.7,97.8,-5.16
4,Michigan,B10,31-8,+27.86,121.9,94.0,64.0,-.007,+11.13,108.2,97.0,-3.09
5,Gonzaga,WCC,32-3,+27.81,120.5,92.7,63.3,+.026,+4.37,105.4,101.0,+5.03
6,Duke,ACC,30-6,+26.98,119.1,92.1,66.7,+.033,+9.95,108.4,98.5,+6.85
7,Ohio St.,B10,29-8,+25.42,115.1,89.7,63.6,+.020,+10.18,107.3,97.1,-5.53
8,Kansas,B12,31-6,+25.23,112.7,87.5,66.4,+.010,+7.05,106.8,99.8,+2.64
9,Syracuse,BE,30-10,+24.83,113.1,88.3,63.1,-.004,+9.46,106.8,97.4,-4.44
10,Michigan St.,B10,27-9,+24.17,112.6,88.5,63.1,+.001,+11.91,108.8,96.9,-0.75
11,Pittsburgh,BE,24-9,+24.08,115.6,91.5,59.3,-.058,+4.52,104.9,100.4,-9.69
12,Wisconsin,B10,23-12,+22.57,108.3,85.7,60.4,-.033,+11.08,108.8,97.7,-3.20
13,Miami FL,ACC,29-7,+22.37,113.6,91.3,61.9,+.028,+8.41,107.7,99.3,+4.96
14,Arizona,P12,27-8,+21.88,115.4,93.5,65.5,-.012,+7.99,106.4,98.5,+1.45
15,Creighton,MVC,28-8,+21.75,118.3,96.5,63.8,-.009,+5.73,105.5,99.7,+1.63
16,Georgetown,BE,25-7,+21.24,107.6,86.4,61.2,+.038,+7.42,106.3,98.9,-6.15
17,Wichita St.,MVC,30-9,+20.31,111.8,91.5,63.8,-.002,+6.71,106.9,100.2,+0.17
18,VCU,A10,27-9,+20.28,114.0,93.7,66.4,+.002,+5.09,105.8,100.7,-0.22
19,Saint Louis,A10,28-7,+20.01,108.6,88.6,63.8,+.000,+3.91,104.5,100.6,-3.98
20,Minnesota,B10,21-13,+19.85,114.8,95.0,62.3,-.036,+11.22,108.5,97.3,+2.07
21,Saint Mary's,WCC,28-7,+19.33,116.1,96.8,62.9,+.023,+3.18,104.9,101.7,-0.49
22,Colorado St.,MWC,26-9,+19.12,117.9,98.8,63.8,+.020,+7.17,105.8,98.6,-0.49
23,New Mexico,MWC,29-6,+19.02,109.9,90.9,63.7,+.073,+7.98,106.4,98.4,+4.42
24,Oklahoma St.,B12,24-9,+18.69,109.0,90.3,66.1,-.016,+6.38,106.8,100.4,-2.26
25,Missouri,SEC,23-11,+18.53,114.9,96.4,66.3,-.032,+5.62,105.1,99.5,-2.02
26,Marquette,BE,26-9,+18.32,113.2,94.9,63.3,+.090,+9.28,105.9,96.6,-1.14
27,Kansas St.,B12,27-8,+18.16,113.5,95.3,61.4,+.051,+6.82,106.1,99.3,-3.29
28,Baylor,B12,23-14,+17.89,114.3,96.4,66.4,-.090,+6.92,106.0,99.1,+1.45
29,Iowa,B10,25-13,+17.83,109.8,91.9,66.3,-.029,+7.00,106.0,99.0,-9.03
30,Iowa St.,B12,23-12,+17.63,117.5,99.8,68.3,-.046,+6.74,105.5,98.7,-3.12
31,San Diego St.,MWC,23-11,+17.43,107.7,90.3,65.5,-.049,+7.65,106.6,98.9,+1.92
32,North Carolina,ACC,25-11,+17.14,112.2,95.1,69.6,+.038,+8.57,106.6,98.0,-0.95
33,North Carolina St.,ACC,24-11,+16.99,116.8,99.8,66.8,-.032,+6.54,106.1,99.5,-0.36
34,Mississippi,SEC,27-9,+16.95,112.3,95.3,69.2,-.011,+3.19,103.4,100.2,-7.55
35,Oregon,P12,28-9,+16.78,106.6,89.8,67.9,+.052,+5.92,105.1,99.2,-8.08
36,Notre Dame,BE,25-10,+16.65,114.6,97.9,60.3,+.046,+6.53,105.1,98.6,-6.61
37,Memphis,CUSA,31-5,+16.33,107.3,91.0,68.3,+.056,+1.90,104.8,102.9,+0.43
38,UNLV,MWC,25-10,+16.07,106.0,90.0,67.9,-.015,+6.23,106.1,99.9,-0.28
39,Illinois,B10,23-13,+15.82,110.6,94.8,64.6,+.042,+10.84,108.1,97.3,-0.80
40,Cincinnati,BE,22-12,+15.57,105.9,90.4,63.0,-.012,+7.31,105.6,98.3,-5.68
41,Virginia,ACC,23-12,+15.51,107.5,92.0,59.3,-.067,+2.47,103.0,100.6,-8.69
42,Butler,A10,27-9,+15.41,110.5,95.1,63.6,+.087,+7.53,106.8,99.3,+4.18
43,Belmont,OVC,26-7,+14.92,111.6,96.6,65.9,+.013,-0.74,103.8,104.6,+5.39
44,Middle Tennessee,SB,28-6,+14.77,107.3,92.5,63.4,+.052,-2.30,100.7,103.0,+4.87
