Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
126,Loyola Chicago,Horz,17-13,+3.20,103.5,100.3,69.5,+.010,-0.59,104.3,104.9,-3.87
127,Massachusetts,A10,13-16,+3.17,102.0,98.8,64.3,+.002,+5.05,107.3,102.2,+6.49
128,Michigan,B10,11-18,+3.15,105.4,102.3,65.6,-.038,+8.27,108.5,100.2,-0.43
129,Tulane,CUSA,13-15,+3.07,104.8,101.7,69.2,+.041,+6.18,105.9,99.7,+2.95
130,Western Michigan,MAC,17-13,+3.00,107.6,104.6,66.9,+.030,-0.17,104.6,104.8,+1.10
131,Montana St.,BSky,18-10,+2.97,107.4,104.4,63.5,+.054,-2.30,102.4,104.7,+1.71
132,Clemson,ACC,13-17,+2.94,107.3,104.4,69.4,-.038,+4.80,106.0,101.2,-9.30
133,George Mason,CAA,19-10,+2.67,104.7,102.1,67.8,+.078,-1.69,101.5,103.2,-0.92
134,Wright St.,Horz,17-11,+2.67,110.9,108.3,65.2,+.033,-2.09,102.6,104.7,-7.70
135,Georgia St.,ASun,19-11,+2.60,107.8,105.2,69.6,+.009,-3.40,103.1,106.5,+5.05
136,Georgia Southern,SC,14-12,+2.55,107.0,104.5,74.4,-.051,-2.19,101.1,103.3,-5.58
137,North Carolina,ACC,8-20,+2.53,105.8,103.2,70.0,-.065,+11.37,110.3,98.9,+1.78
138,Chattanooga,SC,14-14,+2.36,103.7,101.3,69.2,-.012,+1.23,103.8,102.6,+4.69
139,Miami OH,MAC,13-18,+2.15,105.4,103.3,60.5,-.004,+4.99,107.9,102.9,+8.77
140,Illinois St.,MVC,17-14,+2.14,103.1,100.9,66.1,+.072,+2.03,105.6,103.5,+5.00
141,Arkansas St.,SB,13-16,+2.13,105.2,103.1,64.2,-.135,-1.64,102.0,103.6,-3.55
142,Virginia Tech,BE,10-18,+2.10,104.3,102.2,67.3,-.098,+4.00,104.3,100.3,-5.08
143,Oakland,MCon,16-13,+1.91,107.6,105.7,70.3,+.033,-0.10,104.4,104.5,+3.38
144,Weber St.,BSky,16-11,+1.76,106.1,104.4,68.1,-.011,-2.95,101.5,104.4,+2.81
145,Princeton,Ivy,15-12,+1.47,103.7,102.2,57.7,+.023,-0.74,102.0,102.7,+4.72
146,Murray St.,OVC,17-13,+1.35,106.8,105.5,69.2,+.017,-1.74,103.4,105.1,+3.98
147,La Salle,A10,15-17,+1.32,103.9,102.6,66.0,+.034,+3.26,104.7,101.5,+1.96
148,Yale,Ivy,21-10,+1.09,102.9,101.8,73.1,+.040,-6.19,99.8,106.0,-10.05
149,UCF,ASun,16-12,+0.98,104.4,103.4,69.7,-.080,-5.92,101.9,107.9,-2.68
150,Central Connecticut,NEC,27-5,+0.93,100.6,99.7,64.0,+.137,-11.95,97.6,109.5,-4.98
151,The Citadel,SC,13-12,+0.66,105.3,104.6,67.0,-.027,-2.03,100.8,102.8,-6.40
152,Wichita St.,MVC,15-15,+0.61,107.8,107.2,66.9,-.007,-0.19,103.8,104.0,-1.21
153,Toledo,MAC,16-14,+0.40,99.1,98.7,66.2,+.068,+1.51,106.5,105.0,+5.12
154,Rider,MAAC,17-11,+0.35,100.2,99.9,68.5,-.033,-6.00,99.4,105.4,-5.01
155,Delaware,CAA,14-16,+0.32,102.7,102.4,66.4,-.027,-0.02,102.7,102.8,+2.77
156,San Francisco,WCC,12-15,+0.21,102.9,102.7,67.8,-.027,+0.62,103.9,103.3,+0.56
157,Troy St.,ASun,18-10,+0.15,104.2,104.1,69.1,+.044,-4.96,102.6,107.6,+1.40
158,Eastern Washington,BSky,15-13,-0.02,100.2,100.2,68.9,+.053,-0.92,103.3,104.2,+6.97
159,Cal Poly,BW,14-12,-0.06,102.5,102.6,68.3,+.006,-1.98,101.8,103.8,-4.26
160,UTSA,Slnd,19-10,-0.18,103.0,103.2,72.2,+.001,-6.45,99.1,105.5,-0.45
161,North Texas,SB,13-14,-0.21,108.1,108.3,72.0,+.012,+0.69,103.3,102.6,+2.42
162,Holy Cross,Pat,18-15,-0.24,98.1,98.4,62.2,-.048,-6.40,99.7,106.1,-3.38
163,UMKC,MCon,17-11,-0.33,101.2,101.5,60.7,+.040,-4.31,102.8,107.1,-7.23
164,Old Dominion,CAA,13-16,-0.43,102.5,102.9,64.8,-.072,-2.11,102.0,104.1,-3.79
165,Southern Miss,CUSA,9-17,-0.45,97.7,98.1,64.3,-.052,+4.29,105.6,101.3,-2.52
166,Marshall,MAC,15-15,-0.55,110.0,110.5,69.6,+.037,+1.70,105.2,103.5,+1.60
167,Texas Pan American,ind,16-10,-0.62,101.1,101.7,71.7,+.051,-3.70,102.7,106.4,-1.04
168,Morehead St.,OVC,15-11,-0.91,105.5,106.4,68.1,+.072,-3.35,103.3,106.7,+4.35
169,IUPUI,MCon,13-15,-0.96,102.3,103.3,69.4,-.014,-0.16,104.5,104.6,+1.61
170,DePaul,CUSA,9-19,-0.96,100.4,101.4,71.3,-.043,+6.90,107.3,100.4,-0.92
171,Furman,SC,13-14,-1.01,100.2,101.2,65.8,+.021,-0.35,103.1,103.5,-1.90
172,New Orleans,SB,14-14,-1.15,98.4,99.5,68.0,+.042,-0.93,102.4,103.3,-0.64
173,James Madison,CAA,14-15,-1.21,106.4,107.6,65.8,-.036,-2.91,100.2,103.1,-7.07
174,Siena,MAAC,17-19,-1.21,100.8,102.0,66.5,-.070,-4.14,100.3,104.4,-0.42
175,Drake,MVC,14-15,-1.41,107.1,108.5,64.5,+.030,-0.17,103.8,103.9,-1.52
