Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
1,Kentucky,SEC,38-1,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13
2,Wisconsin,B10,36-4,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30
3,Duke,ACC,35-4,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31
4,Arizona,P12,34-4,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
5,Villanova,BE,33-3,+30.65,122.7,92.0,64.2,+.031,+7.67,108.2,100.6,+0.23
6,Virginia,ACC,30-4,+30.06,115.6,85.5,58.0,+.023,+8.21,108.5,100.3,+0.46
7,Gonzaga,WCC,35-3,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00
8,Utah,P12,26-9,+27.24,116.4,89.2,60.5,-.054,+8.19,108.8,100.6,+0.60
9,Notre Dame,ACC,32-6,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62
10,North Carolina,ACC,26-12,+23.85,119.1,95.3,69.2,-.026,+12.76,111.1,98.3,+7.64
11,Oklahoma,B12,24-11,+22.80,112.5,89.7,66.7,-.045,+11.00,110.2,99.2,+1.05
12,Kansas,B12,27-9,+22.72,114.5,91.8,67.0,+.070,+13.17,110.6,97.4,+9.57
13,Wichita St.,MVC,30-5,+22.21,115.8,93.6,62.3,+.022,+3.24,105.5,102.3,+3.44
14,Baylor,B12,24-10,+22.14,116.6,94.5,61.5,-.035,+10.22,108.9,98.7,-0.51
15,Michigan St.,B10,27-12,+21.72,116.6,94.9,63.1,-.017,+10.49,110.3,99.8,-0.88
16,Iowa St.,B12,25-9,+21.49,119.0,97.5,69.6,+.005,+10.59,109.0,98.5,-1.18
17,Louisville,ACC,27-9,+21.21,110.2,88.9,64.6,+.027,+9.69,109.5,99.8,-2.36
18,Northern Iowa,MVC,31-4,+20.98,116.3,95.3,58.2,+.018,+1.42,104.4,103.0,+0.61
19,Ohio St.,B10,24-11,+20.75,115.6,94.8,65.2,-.043,+6.76,108.1,101.4,-7.41
20,Butler,BE,23-11,+20.09,110.2,90.1,63.2,-.023,+9.72,110.6,100.9,+0.69
21,Xavier,BE,23-14,+19.49,116.6,97.1,65.0,-.062,+10.29,109.5,99.2,+2.07
22,Georgetown,BE,22-11,+19.13,114.3,95.1,64.0,-.000,+10.23,110.5,100.3,+3.24
23,Iowa,B10,22-12,+19.02,114.2,95.1,63.7,-.007,+8.58,108.9,100.4,-1.58
24,Texas,B12,20-14,+18.94,112.4,93.4,62.0,-.079,+9.52,108.3,98.8,-2.47
25,West Virginia,B12,25-10,+17.64,112.6,94.9,67.9,+.087,+9.56,108.9,99.3,-2.65
26,SMU,Amer,27-7,+17.51,113.1,95.6,63.1,-.004,+2.52,105.3,102.8,+0.99
27,Providence,BE,22-12,+16.72,112.6,95.9,65.2,+.038,+10.26,109.7,99.4,+2.18
28,BYU,WCC,25-10,+16.69,119.4,102.7,70.4,-.055,+3.96,107.0,103.0,+3.78
29,Arkansas,SEC,27-9,+16.44,114.7,98.3,69.3,+.045,+6.09,107.2,101.1,-3.44
30,VCU,A10,26-10,+16.27,111.1,94.9,66.5,+.043,+6.65,107.9,101.2,+8.77
31,San Diego St.,MWC,27-9,+15.95,104.9,89.0,60.4,+.026,+3.63,106.1,102.5,+3.50
32,North Carolina St.,ACC,22-14,+15.93,114.9,98.9,64.1,-.003,+9.84,109.3,99.5,-0.65
33,Maryland,B10,28-7,+15.68,111.3,95.7,63.9,+.127,+7.15,108.3,101.1,-3.33
34,Florida,SEC,16-17,+15.39,107.3,91.9,62.7,-.117,+10.08,109.5,99.4,+4.19
35,Georgia,SEC,21-12,+15.09,109.6,94.5,64.1,+.001,+8.73,108.6,99.9,+1.41
36,Davidson,A10,24-8,+15.00,119.7,104.7,66.7,+.056,+3.16,105.3,102.2,-3.78
37,Vanderbilt,SEC,21-14,+14.99,115.6,100.6,63.4,-.110,+5.49,106.1,100.6,-3.96
38,Oklahoma St.,B12,18-14,+14.92,111.8,96.8,63.3,-.045,+10.42,108.2,97.8,-1.65
39,Stanford,P12,24-13,+14.72,113.6,98.9,65.2,+.006,+6.86,108.2,101.4,+0.79
40,UCLA,P12,22-14,+14.65,112.9,98.2,65.8,+.032,+8.40,107.9,99.5,+2.63
41,Miami FL,ACC,25-13,+14.49,112.5,98.1,62.5,+.022,+7.00,107.5,100.5,-1.99
42,Dayton,A10,27-9,+14.24,109.2,95.0,63.4,+.022,+3.39,105.4,102.0,+0.07
43,Cincinnati,Amer,23-11,+14.15,108.2,94.0,59.8,-.016,+3.39,104.9,101.5,+1.69
44,Purdue,B10,21-13,+13.96,110.9,97.0,64.3,-.006,+7.45,109.0,101.6,-2.75
45,Oregon,P12,26-10,+13.88,115.2,101.3,66.6,+.119,+7.28,108.4,101.1,-2.34
46,Mississippi,SEC,21-13,+13.88,114.5,100.6,66.2,-.033,+7.10,107.3,100.2,-1.19
47,Boise St.,MWC,25-9,+13.85,111.9,98.1,62.8,+.009,+0.94,104.8,103.9,-0.31
48,Indiana,B10,20-14,+13.83,119.8,106.0,66.6,-.044,+6.92,107.8,100.9,-5.96
49,LSU,SEC,22-11,+13.76,108.9,95.1,69.3,-.043,+5.09,106.2,101.2,-4.77
50,St. John's,BE,21-12,+13.70,110.7,97.0,66.7,+.050,+8.72,109.0,100.3,-1.50
51,Stephen F. Austin,Slnd,29-5,+13.64,113.9,100.3,65.4,+.020,-5.56,102.2,107.7,+0.63
52,Minnesota,B10,18-15,+13.06,112.7,99.7,67.3,-.099,+6.80,107.0,100.2,-5.45
53,Syracuse,ACC,18-13,+12.78,107.0,94.2,65.8,-.025,+7.16,108.3,101.1,-1.73
54,Texas A&M,SEC,21-12,+12.31,109.4,97.1,63.7,-.010,+4.90,106.5,101.6,-2.77
55,Alabama,SEC,19-15,+12.28,111.6,99.3,62.2,-.032,+7.98,108.2,100.3,-1.61
56,TCU,B12,18-15,+12.25,108.8,96.6,63.6,-.081,+5.46,106.5,101.0,-15.20
57,Murray St.,OVC,29-6,+12.04,116.5,104.5,66.8,+.076,-2.61,102.8,105.4,-1.08
58,Buffalo,MAC,23-10,+11.87,111.3,99.4,68.3,+.001,+1.83,106.0,104.2,+0.81
59,Richmond,A10,21-14,+11.76,108.6,96.8,61.8,-.078,+3.33,105.8,102.5,-0.58
60,Rhode Island,A10,23-10,+11.74,103.9,92.2,66.0,-.006,+2.15,104.5,102.4,-2.87
61,Illinois,B10,19-14,+11.68,108.3,96.7,64.8,-.026,+6.59,107.8,101.2,-4.22
62,Illinois St.,MVC,22-13,+11.67,107.7,96.1,64.7,-.050,+3.20,106.1,102.9,+1.90
63,South Carolina,SEC,17-16,+11.32,105.6,94.3,64.1,-.048,+8.15,108.3,100.1,+0.34
64,Valparaiso,Horz,28-6,+11.13,107.4,96.3,62.3,+.053,-2.06,104.2,106.3,-3.69
65,Arizona St.,P12,18-16,+11.13,109.8,98.7,65.8,-.035,+6.57,106.7,100.2,-2.47
66,Temple,Amer,26-11,+11.10,105.3,94.2,65.4,+.065,+2.21,104.8,102.6,+0.89
67,Saint Mary's,WCC,21-10,+10.36,110.9,100.6,62.6,+.027,+2.32,106.7,104.3,-1.13
68,Georgia St.,SB,25-10,+10.32,111.6,101.3,62.4,-.003,-1.47,102.4,103.9,+3.63
69,George Washington,A10,22-13,+10.19,108.4,98.2,61.9,+.009,+3.34,105.7,102.4,-1.96
70,Old Dominion,CUSA,27-8,+10.19,106.5,96.3,59.9,+.047,-1.58,103.6,105.1,-1.21
71,Green Bay,Horz,24-9,+10.11,104.7,94.6,64.9,+.031,+0.01,105.4,105.4,+1.78
72,Colorado St.,MWC,27-7,+10.01,111.6,101.6,66.6,+.087,-0.22,103.9,104.1,-1.63
73,Connecticut,Amer,20-15,+9.98,107.7,97.7,62.1,-.065,+3.07,104.8,101.7,+4.02
74,Michigan,B10,16-16,+9.55,110.0,100.5,59.7,-.008,+9.39,109.4,100.0,+0.28
75,Harvard,Ivy,22-8,+9.23,104.8,95.6,61.1,+.091,-0.18,104.3,104.5,+0.36
76,Louisiana Tech,CUSA,27-9,+9.18,109.0,99.8,67.4,+.033,-1.56,103.0,104.6,-3.75
77,Yale,Ivy,22-10,+8.78,107.3,98.6,61.9,+.029,+0.89,104.4,103.5,+3.94
78,Pittsburgh,ACC,19-15,+8.65,113.5,104.8,60.6,+.012,+6.35,107.7,101.4,-3.79
79,Creighton,BE,14-19,+8.36,111.0,102.6,62.1,-.083,+7.79,107.9,100.1,-3.41
80,Central Michigan,MAC,23-9,+8.23,114.9,106.6,64.4,+.015,-1.27,104.4,105.7,-12.27
81,Kansas St.,B12,15-17,+8.18,106.6,98.4,62.1,+.010,+10.32,108.9,98.6,-1.28
82,Penn St.,B10,18-16,+8.08,105.3,97.2,65.4,+.004,+5.97,107.5,101.5,-5.04
83,Seton Hall,BE,16-15,+7.98,109.3,101.3,65.7,+.012,+8.21,108.3,100.1,-2.53
84,Clemson,ACC,16-15,+7.82,104.5,96.7,61.6,+.009,+6.49,108.1,101.6,-3.83
85,Tulsa,Amer,23-11,+7.75,102.6,94.9,63.9,+.096,+1.82,105.3,103.5,+0.61
86,Georgia Tech,ACC,12-19,+7.67,103.7,96.0,63.7,-.070,+8.38,109.0,100.6,+0.43
87,Memphis,Amer,18-14,+7.51,105.5,98.0,66.2,-.033,+1.21,104.0,102.7,-1.46
88,Toledo,MAC,20-13,+7.46,113.3,105.8,66.4,-.030,+0.92,105.5,104.6,-0.32
89,Cleveland St.,Horz,19-15,+7.42,108.3,100.9,61.1,-.098,+0.26,104.4,104.1,+1.57
90,Tennessee,SEC,16-16,+7.24,109.5,102.3,60.4,+.030,+8.26,108.1,99.9,+0.49
91,UC Irvine,BW,21-13,+7.09,106.3,99.2,63.4,-.022,+0.90,104.7,103.8,+2.29
92,Colorado,P12,16-18,+7.09,107.5,100.5,65.0,-.041,+5.63,107.7,102.1,-0.94
93,Marquette,BE,13-19,+6.88,105.3,98.5,63.7,-.043,+9.97,110.5,100.5,-1.17
94,South Dakota St.,Sum,24-11,+6.85,108.8,102.0,66.1,-.006,-3.73,103.0,106.7,-1.28
95,Sam Houston St.,Slnd,26-9,+6.84,103.4,96.5,64.9,-.055,-7.28,101.4,108.6,-0.16
96,Wofford,SC,28-7,+6.72,105.2,98.5,60.5,+.122,-3.98,104.0,108.0,+6.79
97,UTEP,CUSA,22-11,+6.64,106.2,99.6,64.7,-.004,-1.56,103.9,105.5,+0.66
98,New Mexico St.,WAC,23-11,+6.63,107.4,100.8,63.0,-.042,-5.37,101.1,106.5,+1.78
99,Florida St.,ACC,17-16,+6.37,105.6,99.3,65.9,+.038,+5.95,107.6,101.6,-4.74
100,Iona,MAAC,26-9,+6.18,113.6,107.4,69.7,+.048,-2.25,102.1,104.4,+1.64
101,UC Davis,BW,25-7,+6.14,112.3,106.2,62.9,+.067,-2.30,103.3,105.6,-5.95
102,UNLV,MWC,18-15,+6.13,107.9,101.7,65.1,-.029,+2.73,104.5,101.8,+6.77
103,La Salle,A10,17-16,+6.02,101.3,95.3,64.1,-.017,+4.11,106.1,101.9,+2.55
104,North Carolina Central,MEAC,25-8,+6.00,105.4,99.4,59.4,+.027,-9.20,98.3,107.4,+3.98
105,UC Santa Barbara,BW,19-14,+6.00,109.3,103.3,62.6,-.034,+1.58,104.6,103.1,+5.00
106,San Diego,WCC,15-16,+5.95,104.0,98.0,62.9,-.076,+3.73,107.4,103.7,+2.66
107,Oregon St.,P12,17-14,+5.90,100.0,94.1,60.5,+.013,+4.76,107.3,102.5,-5.80
108,Akron,MAC,21-14,+5.77,105.1,99.4,63.6,-.042,-0.98,104.0,105.0,-7.63
109,Wyoming,MWC,25-10,+5.67,104.8,99.1,59.1,+.083,-1.04,103.0,104.1,-10.31
110,Boston College,ACC,13-19,+5.61,107.9,102.3,63.4,-.035,+8.01,108.0,100.0,-4.64
111,Hofstra,CAA,20-14,+5.43,112.0,106.6,68.7,-.111,-5.12,102.0,107.2,-7.32
112,St. Bonaventure,A10,18-13,+5.31,105.4,100.1,64.4,+.009,+0.94,104.4,103.5,-6.08
113,California,P12,18-15,+5.25,104.2,99.0,65.3,+.062,+5.58,107.8,102.2,-3.07
114,Evansville,MVC,24-12,+5.25,106.6,101.3,66.2,+.039,-0.75,103.7,104.4,-5.22
115,Bowling Green,MAC,21-12,+5.20,105.9,100.7,63.7,+.006,-1.56,103.6,105.2,-5.19
116,William & Mary,CAA,20-13,+5.17,113.9,108.8,63.9,-.024,-0.65,103.6,104.2,+6.78
117,Northeastern,CAA,23-12,+5.12,108.3,103.1,63.3,+.025,-1.29,104.5,105.7,+1.80
118,Kent St.,MAC,23-12,+5.04,107.4,102.3,61.5,+.029,-0.47,104.4,104.8,-5.72
119,Washington,P12,16-15,+5.04,108.8,103.8,65.2,-.002,+4.84,105.8,101.0,-6.27
120,Wake Forest,ACC,13-19,+4.76,106.6,101.8,68.0,-.025,+7.89,108.7,100.8,-2.99
121,Nebraska,B10,13-18,+4.62,99.6,95.0,63.3,-.017,+7.59,109.1,101.5,-3.77
122,Northwestern,B10,15-17,+4.59,107.8,103.2,59.7,+.009,+6.74,108.8,102.1,-6.17
123,Vermont,AE,20-14,+4.38,103.3,99.0,64.4,-.118,-5.70,100.0,105.7,-0.54
124,Utah St.,MWC,18-13,+4.27,107.5,103.2,63.5,-.022,-0.36,103.5,103.8,-1.26
125,Massachusetts,A10,17-15,+4.16,106.5,102.3,67.0,+.069,+5.03,106.2,101.2,+6.20
126,Pepperdine,WCC,18-14,+4.10,100.5,96.4,63.5,+.014,+1.91,106.0,104.1,-6.18
127,Hawaii,BW,22-13,+3.73,105.1,101.4,68.9,-.009,-1.97,103.3,105.2,-5.29
128,Louisiana Lafayette,SB,22-14,+3.59,106.0,102.4,69.9,-.055,-3.14,102.0,105.2,-1.43
129,Eastern Kentucky,OVC,21-12,+3.46,106.3,102.8,63.5,-.030,-4.84,102.3,107.1,-2.63
130,Stony Brook,AE,23-12,+3.35,102.8,99.5,64.1,+.019,-3.44,101.6,105.0,+4.10
131,Albany,AE,24-9,+3.29,107.2,103.9,60.8,+.054,-5.50,100.4,105.9,+0.18
132,Loyola Chicago,MVC,24-13,+3.28,105.9,102.6,61.1,+.079,-0.36,103.3,103.7,-3.54
133,Eastern Washington,BSky,26-9,+3.25,112.9,109.6,68.2,+.067,-3.75,104.2,108.0,+3.94
134,Portland,WCC,17-16,+3.23,109.0,105.8,64.2,-.035,+1.98,106.6,104.6,-4.48
135,UAB,CUSA,20-16,+3.06,104.9,101.9,64.7,+.025,+0.29,103.9,103.6,+3.40
136,Long Beach St.,BW,16-17,+3.05,104.0,100.9,65.2,+.032,+6.36,107.5,101.1,+15.31
137,New Mexico,MWC,15-16,+2.82,101.6,98.7,62.0,-.068,+0.64,104.5,103.9,-3.48
138,Eastern Michigan,MAC,21-14,+2.69,101.8,99.2,66.0,-.001,-0.32,105.7,106.0,-4.35
139,Auburn,SEC,15-20,+2.45,105.8,103.3,67.2,+.058,+7.98,107.3,99.3,+1.26
140,Coastal Carolina,BSth,24-10,+2.38,106.7,104.3,64.1,+.006,-6.45,102.2,108.6,-1.05
141,Western Kentucky,CUSA,20-12,+2.28,105.0,102.7,66.3,+.039,-1.05,103.0,104.0,+3.69
142,Belmont,OVC,22-11,+2.27,110.2,107.9,66.9,+.065,-3.33,102.4,105.7,-1.68
143,North Florida,ASun,23-12,+2.26,108.4,106.2,67.1,-.022,-7.19,101.0,108.2,+2.23
144,San Francisco,WCC,14-18,+2.16,105.7,103.5,65.5,-.082,+2.01,106.6,104.6,-3.60
145,High Point,BSth,23-10,+2.03,108.4,106.4,62.2,+.103,-3.50,103.7,107.2,+4.07
146,Charlotte,CUSA,14-18,+1.92,109.9,108.0,66.8,-.105,+0.30,103.4,103.1,+4.53
147,Georgia Southern,SB,22-9,+1.89,100.5,98.6,63.4,+.022,-5.07,100.9,106.0,-8.48
148,Tennessee Martin,OVC,21-13,+1.84,109.2,107.3,62.0,+.033,-2.12,103.2,105.3,-0.59
149,Canisius,MAAC,18-15,+1.81,103.6,101.8,63.4,-.049,-2.64,102.0,104.7,+0.33
150,DePaul,BE,12-20,+1.77,108.6,106.8,67.0,-.001,+7.69,108.3,100.6,-3.42
151,USC,P12,12-20,+1.46,101.6,100.1,68.0,-.005,+5.52,107.0,101.5,-4.71
152,North Dakota St.,Sum,23-10,+1.41,103.8,102.4,60.8,+.105,-4.21,102.9,107.1,-5.50
153,Cal Poly,BW,13-16,+1.24,102.9,101.7,58.6,-.056,+2.15,105.9,103.7,+6.11
154,Morehead St.,OVC,17-17,+0.98,104.1,103.1,64.9,-.094,-2.55,103.7,106.2,+1.12
155,Texas Tech,B12,13-19,+0.97,102.3,101.3,61.6,-.016,+6.91,107.4,100.5,-10.95
156,Western Michigan,MAC,20-14,+0.86,108.0,107.1,65.0,+.058,+0.56,105.1,104.5,-2.13
157,St. Francis NY,NEC,23-12,+0.62,103.6,103.0,64.5,-.020,-7.43,99.9,107.3,-4.21
158,Middle Tennessee,CUSA,19-17,+0.59,102.3,101.7,61.0,+.003,-0.57,103.7,104.3,+1.22
159,Mississippi St.,SEC,13-19,+0.58,100.7,100.1,63.8,-.034,+4.23,106.2,102.0,-8.42
160,Princeton,Ivy,16-14,+0.55,107.4,106.9,64.6,-.032,-2.94,101.8,104.8,-4.28
161,Saint Joseph's,A10,13-18,+0.34,100.3,100.0,63.3,-.006,+2.25,104.4,102.1,-2.47
162,Manhattan,MAAC,19-14,+0.31,101.9,101.6,67.7,-.001,-3.59,102.0,105.6,-0.40
163,Rider,MAAC,21-12,+0.17,101.2,101.0,64.2,+.086,-3.44,102.1,105.5,-2.30
