Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
164,Montana,BSky,20-13,+0.15,106.0,105.8,62.0,+.003,-4.19,104.3,108.4,+5.09
165,Columbia,Ivy,13-15,+0.12,107.5,107.4,60.2,-.090,-2.22,102.2,104.4,-3.11
166,Chattanooga,SC,22-10,+0.09,105.6,105.5,64.5,+.101,-6.12,102.4,108.5,-0.75
167,Oakland,Horz,16-17,+0.06,111.4,111.3,66.5,+.019,+1.90,105.5,103.6,+9.10
168,Dartmouth,Ivy,14-15,-0.67,102.0,102.7,63.4,-.027,-2.13,102.4,104.5,-3.61
169,Indiana St.,MVC,15-16,-0.70,102.7,103.4,66.6,+.015,+0.23,103.5,103.2,-4.16
170,Louisiana Monroe,SB,24-14,-0.71,99.0,99.7,61.8,+.070,-2.63,102.4,105.1,+2.38
171,Radford,BSth,22-12,-0.77,105.6,106.3,65.0,+.058,-4.69,102.6,107.2,+0.34
172,IPFW,Sum,16-15,-0.82,107.7,108.5,64.5,-.051,-2.98,102.6,105.5,+0.12
173,NJIT,ind,21-12,-0.85,105.5,106.4,66.2,+.049,-4.15,101.9,106.0,-4.53
174,UNC Wilmington,CAA,18-14,-0.90,101.5,102.4,67.5,+.059,-1.54,104.1,105.7,+2.03
175,Virginia Tech,ACC,11-22,-0.92,106.3,107.2,63.6,-.042,+5.80,107.3,101.5,-11.65
176,Winthrop,BSth,19-13,-0.94,104.8,105.7,65.8,-.051,-6.86,101.0,107.9,-3.87
177,Quinnipiac,MAAC,15-15,-1.09,103.0,104.1,66.3,-.092,-4.91,100.8,105.7,-4.85
178,Northern Arizona,BSky,23-15,-1.12,102.2,103.4,64.8,+.063,-3.88,104.7,108.6,+2.99
179,Northern Illinois,MAC,14-16,-1.20,102.8,104.0,62.5,+.005,+0.46,105.6,105.1,-4.01
180,Colgate,Pat,16-17,-1.24,108.0,109.2,60.7,-.055,-3.48,102.8,106.3,+3.71
181,USC Upstate,ASun,24-12,-1.25,103.5,104.7,63.3,-.025,-9.37,99.8,109.2,-7.74
182,Detroit,Horz,15-18,-1.34,103.3,104.6,67.3,-.008,+0.91,106.0,105.1,+4.35
183,Monmouth,MAAC,18-15,-1.38,100.8,102.1,63.6,+.012,-3.53,102.1,105.6,-3.20
184,Robert Morris,NEC,20-15,-1.39,103.1,104.5,65.4,+.055,-4.59,102.7,107.3,+2.49
185,Mercer,SC,19-16,-1.52,104.5,106.0,60.9,-.049,-5.49,102.1,107.6,+2.33
186,Washington St.,P12,13-18,-1.67,109.1,110.8,67.2,+.085,+6.52,107.6,101.1,-1.81
187,Saint Peter's,MAAC,16-18,-1.72,100.0,101.7,60.2,-.067,-4.04,101.5,105.5,-3.40
188,American,Pat,17-16,-1.77,102.5,104.2,56.8,+.015,-2.32,103.7,106.0,+2.69
189,New Hampshire,AE,19-13,-1.86,100.9,102.8,63.9,-.027,-6.30,100.3,106.6,-3.25
190,Florida Gulf Coast,ASun,22-11,-1.92,101.6,103.6,64.2,+.044,-6.76,102.1,108.9,+1.54
191,Norfolk St.,MEAC,20-14,-2.01,105.5,107.5,64.6,+.027,-6.20,100.2,106.4,+6.54
192,Missouri,SEC,9-23,-2.09,102.0,104.1,62.0,-.019,+9.07,108.3,99.3,+2.99
193,Lafayette,Pat,20-13,-2.14,112.9,115.1,64.6,+.097,-4.01,103.0,107.0,-0.45
194,Santa Clara,WCC,14-18,-2.14,105.9,108.0,61.1,+.019,+3.42,107.0,103.5,-0.33
195,Charleston Southern,BSth,19-12,-2.17,107.0,109.2,65.2,+.053,-4.72,102.6,107.4,+4.65
196,Sacramento St.,BSky,21-12,-2.33,109.0,111.3,61.9,+.074,-6.03,103.0,109.1,-4.10
197,UT Arlington,SB,16-15,-2.41,103.4,105.9,69.6,+.023,-3.22,101.5,104.8,+1.46
198,Rutgers,B10,10-22,-2.45,98.7,101.1,64.9,+.037,+8.39,108.6,100.3,-0.01
199,James Madison,CAA,19-14,-2.69,105.5,108.2,63.9,+.103,-2.73,103.8,106.5,-2.91
200,Bucknell,Pat,19-15,-2.80,105.8,108.6,64.2,+.076,-3.27,103.7,107.0,+1.96
201,Lehigh,Pat,16-14,-2.81,99.9,102.7,66.2,+.007,-4.12,103.2,107.3,+1.01
202,Cornell,Ivy,13-17,-2.87,96.9,99.7,64.2,-.032,-1.46,102.7,104.1,-1.89
203,Fresno St.,MWC,15-17,-2.92,102.8,105.7,64.9,+.068,+1.53,103.7,102.1,-0.26
204,Air Force,MWC,14-17,-3.01,108.1,111.2,61.7,-.065,-1.17,102.6,103.8,-11.14
205,George Mason,A10,9-22,-3.08,102.9,106.0,64.0,-.032,+4.64,105.8,101.1,+2.98
206,Oral Roberts,Sum,19-15,-3.17,106.2,109.4,65.5,+.097,-1.64,102.8,104.4,+2.83
207,Maryland Eastern Shore,MEAC,18-15,-3.33,104.5,107.8,64.4,+.040,-5.65,100.5,106.2,+3.39
208,Fordham,A10,10-21,-3.49,102.0,105.5,65.4,-.060,+2.63,104.0,101.4,-4.76
209,UTSA,CUSA,14-16,-3.59,106.4,110.0,65.9,-.051,-3.46,101.5,105.0,-5.67
210,Rice,CUSA,12-20,-3.62,102.0,105.6,62.0,-.061,-1.32,103.6,104.9,-1.93
211,Milwaukee,Horz,14-16,-3.76,103.1,106.9,64.4,+.043,+0.89,105.6,104.7,+3.08
212,Gardner Webb,BSth,20-15,-3.84,107.6,111.4,67.4,+.085,-1.92,103.9,105.8,+6.81
213,Texas Southern,SWAC,22-13,-3.84,104.1,107.9,63.3,+.128,-6.74,100.0,106.8,+15.16
214,Houston,Amer,13-19,-3.85,101.4,105.2,64.2,-.057,-2.75,101.8,104.6,-14.23
215,Miami OH,MAC,13-19,-4.02,102.5,106.6,64.6,+.009,-0.08,104.3,104.4,-5.44
216,UC Riverside,BW,14-17,-4.22,98.5,102.8,65.3,+.013,-0.71,104.4,105.1,-3.48
217,Duquesne,A10,12-19,-4.26,108.6,112.9,67.3,-.015,+1.03,103.7,102.7,-8.19
218,East Tennessee St.,SC,16-14,-4.29,103.2,107.5,67.7,+.036,-4.13,103.2,107.3,+4.74
219,South Dakota,Sum,17-16,-4.36,103.4,107.8,65.2,+.032,-3.12,103.1,106.3,-1.23
220,Tulane,Amer,15-16,-4.37,99.8,104.2,63.0,+.031,-1.34,102.0,103.4,-9.69
221,St. Francis PA,NEC,16-16,-4.58,99.8,104.4,62.7,+.018,-4.10,102.0,106.1,+3.61
222,Denver,Sum,12-18,-4.58,106.0,110.6,57.1,-.067,-3.73,102.8,106.6,-2.16
223,Southern Illinois,MVC,12-21,-4.79,98.8,103.6,62.2,-.054,-0.87,103.0,103.9,-8.22
224,East Carolina,Amer,14-19,-4.89,103.7,108.6,61.2,-.002,+0.04,103.2,103.2,-6.07
225,Eastern Illinois,OVC,18-15,-4.95,100.3,105.2,63.2,+.119,-1.20,104.4,105.6,+2.87
226,Mount St. Mary's,NEC,15-15,-4.97,98.5,103.4,62.4,+.040,-4.84,102.0,106.9,+5.25
227,Texas A&M Corpus Chris,Slnd,20-14,-5.05,100.8,105.9,62.7,+.040,-7.36,101.3,108.6,-5.46
228,Incarnate Word,Slnd,18-11,-5.06,107.5,112.6,67.4,+.041,-6.57,101.1,107.7,+5.19
229,Northwestern St.,Slnd,19-13,-5.11,112.5,117.6,73.2,+.054,-5.20,101.7,106.9,+10.52
230,Texas St.,SB,14-17,-5.20,93.7,98.9,61.2,-.033,-3.05,102.5,105.6,+1.05
231,Idaho,BSky,13-17,-5.29,107.7,112.9,67.5,-.070,-4.51,104.3,108.8,+1.05
232,Ohio,MAC,10-20,-5.47,103.0,108.5,66.4,-.040,+0.75,104.9,104.2,-4.22
233,Southeast Missouri St.,OVC,13-17,-5.54,102.8,108.4,65.6,-.061,-4.11,102.4,106.5,-3.94
234,Western Carolina,SC,15-17,-5.60,101.9,107.5,65.7,+.009,-3.30,103.8,107.1,+4.95
235,Arkansas Little Rock,SB,13-18,-5.63,104.3,109.9,64.3,-.048,-4.76,100.6,105.4,-4.87
236,Bryant,NEC,16-15,-5.85,104.1,109.9,63.1,+.064,-4.60,101.4,106.0,+2.86
237,UNC Asheville,BSth,15-16,-6.14,102.4,108.6,67.8,-.024,-4.43,102.8,107.2,+1.11
238,Sacred Heart,NEC,15-17,-6.16,103.4,109.6,68.5,-.013,-6.61,100.8,107.4,-3.30
239,Boston University,Pat,13-17,-6.29,106.4,112.7,64.2,+.006,-3.45,102.9,106.4,+1.66
240,Pacific,WCC,12-19,-6.31,103.1,109.5,61.4,+.052,+2.88,106.7,103.8,-2.53
241,Cal St. Bakersfield,WAC,14-19,-6.44,99.7,106.2,60.5,-.124,-6.99,99.9,106.9,-2.96
242,Holy Cross,Pat,14-16,-6.49,101.2,107.7,63.6,+.030,-3.91,103.2,107.1,+1.85
243,Wright St.,Horz,11-20,-6.53,99.0,105.5,63.0,-.028,+0.02,105.4,105.3,+0.87
244,Seattle,WAC,18-16,-6.64,98.3,104.9,62.3,+.016,-7.33,100.3,107.7,-5.33
245,North Texas,CUSA,14-17,-6.66,98.6,105.2,65.5,+.046,-1.29,103.8,105.1,-1.86
246,Northern Kentucky,ASun,13-17,-6.72,104.2,110.9,63.6,-.058,-5.02,103.7,108.7,+2.94
247,Tennessee Tech,OVC,12-18,-6.88,104.2,111.1,66.2,-.052,-3.30,102.7,106.0,-1.43
248,SIU Edwardsville,OVC,12-16,-6.90,97.9,104.8,66.3,-.043,-4.50,102.8,107.3,-5.19
249,Elon,CAA,15-18,-7.23,98.5,105.7,68.0,+.053,-3.20,104.0,107.2,-4.22
250,Drexel,CAA,11-19,-7.24,99.3,106.5,60.7,+.003,-1.50,103.7,105.2,+2.20
251,Hampton,MEAC,17-18,-7.40,96.6,104.0,69.2,+.031,-7.48,99.5,106.9,-0.55
