Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
1,Gonzaga,WCC,37-2,+32.05,118.4,86.3,70.1,+.020,+2.99,106.2,103.3,+1.01
2,Villanova,BE,32-4,+29.88,122.4,92.5,64.1,+.010,+9.33,109.8,100.5,+3.55
3,North Carolina,ACC,33-7,+28.22,120.7,92.5,71.3,+.037,+12.49,112.0,99.5,+3.87
4,Kentucky,SEC,32-6,+27.72,119.1,91.4,72.0,+.006,+10.98,110.5,99.5,+3.74
5,Florida,SEC,27-9,+27.50,116.9,89.5,69.0,-.041,+12.46,110.3,97.8,+8.19
6,Kansas,B12,31-5,+27.45,121.9,94.5,70.2,+.067,+12.43,111.2,98.8,+2.39
7,West Virginia,B12,28-9,+27.17,116.5,89.4,69.9,-.043,+10.84,110.1,99.2,-7.97
8,Wichita St.,MVC,31-5,+26.14,118.7,92.6,68.0,-.021,+1.50,105.0,103.5,-0.32
9,Louisville,ACC,25-9,+25.51,117.2,91.7,67.9,-.023,+11.14,111.6,100.5,+4.20
10,Oregon,P12,33-6,+25.02,118.2,93.2,67.0,+.034,+8.05,109.2,101.2,+0.51
11,SMU,Amer,30-5,+24.73,119.8,95.0,63.5,+.003,+3.25,105.3,102.1,-0.92
12,Virginia,ACC,23-11,+24.29,112.2,88.0,59.2,-.030,+11.68,111.5,99.8,+2.29
13,Baylor,B12,27-8,+24.23,117.1,92.9,63.7,+.023,+13.08,111.7,98.6,+1.67
14,Duke,ACC,28-9,+24.17,121.0,96.8,68.3,+.014,+11.43,111.0,99.6,+0.03
15,Saint Mary's,WCC,29-5,+23.67,118.7,95.0,60.2,+.030,+0.41,104.3,103.9,-4.13
16,UCLA,P12,31-5,+23.63,124.0,100.4,72.6,+.021,+5.17,108.0,102.8,-4.66
17,Iowa St.,B12,24-11,+23.45,119.7,96.3,68.4,-.019,+14.05,112.6,98.6,-0.74
18,Arizona,P12,32-5,+23.31,118.4,95.1,66.0,+.046,+7.13,108.7,101.5,+1.69
