Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
1,North Carolina,ACC,33-4,+32.77,122.5,89.7,73.1,+.011,+11.64,108.7,97.1,+4.26
2,Illinois,B10,37-2,+32.68,122.3,89.6,64.1,-.007,+8.16,107.3,99.1,+0.31
3,Duke,ACC,27-6,+27.41,115.7,88.3,68.3,-.002,+10.89,109.5,98.6,+1.51
4,Louisville,CUSA,33-5,+25.78,118.8,93.0,66.3,+.045,+6.42,106.1,99.7,-2.03
5,Michigan St.,B10,26-7,+25.67,119.7,94.0,66.4,-.013,+7.89,107.0,99.1,-3.18
6,Oklahoma St.,B12,26-7,+25.02,121.2,96.2,66.2,-.015,+9.59,108.0,98.4,+5.03
7,Villanova,BE,24-8,+25.02,114.7,89.7,67.0,-.054,+9.16,107.9,98.7,-0.89
8,Wake Forest,ACC,27-6,+24.86,124.3,99.5,68.9,+.046,+10.94,108.4,97.5,+4.87
9,Kentucky,SEC,28-6,+24.10,113.0,88.9,66.6,+.032,+8.85,107.9,99.1,-2.71
10,Florida,SEC,24-8,+23.93,116.4,92.5,65.2,-.027,+7.13,106.6,99.5,-4.30
11,Kansas,B12,23-7,+23.08,115.6,92.5,66.5,+.008,+10.45,108.1,97.7,+10.37
12,Oklahoma,B12,25-8,+22.55,114.4,91.8,65.4,-.006,+7.68,107.5,99.8,+0.09
13,Arizona,P10,30-7,+22.22,116.7,94.5,68.6,+.027,+8.12,107.8,99.7,+3.33
14,Washington,P10,29-6,+22.18,120.6,98.4,71.9,+.060,+8.61,107.5,98.9,+6.73
15,Connecticut,BE,23-8,+21.94,112.1,90.2,70.6,-.031,+8.52,108.5,100.0,-1.04
16,Syracuse,BE,27-7,+20.98,115.6,94.7,65.8,+.002,+6.29,106.8,100.5,-4.57
17,Wisconsin,B10,25-9,+20.81,112.0,91.2,62.8,+.042,+10.24,108.5,98.3,+1.27
18,Alabama,SEC,24-8,+20.51,118.8,98.3,62.8,+.033,+6.84,106.5,99.6,-1.28
19,Cincinnati,CUSA,25-8,+20.43,112.5,92.0,68.0,-.006,+5.48,106.1,100.6,+0.62
20,Utah,MWC,29-6,+20.33,113.1,92.7,59.1,+.032,+3.60,105.9,102.3,-4.04
21,Utah St.,BW,24-8,+19.62,116.0,96.4,61.1,-.094,-2.48,101.3,103.8,-4.48
22,Georgia Tech,ACC,20-12,+19.23,109.2,90.0,68.6,-.038,+10.91,108.9,98.0,-4.87
23,North Carolina St.,ACC,21-14,+18.93,115.0,96.1,63.1,-.062,+10.05,108.3,98.3,-3.82
24,Pittsburgh,BE,20-9,+18.41,114.8,96.3,64.0,-.057,+5.63,106.3,100.7,-10.09
25,Boston College,BE,25-5,+18.30,114.3,96.0,64.8,+.078,+6.60,105.8,99.2,-4.21
26,Gonzaga,WCC,26-5,+17.88,119.3,101.4,67.1,+.012,+3.46,104.0,100.5,+2.18
27,Iowa,B10,21-12,+17.17,111.9,94.7,68.1,-.034,+9.51,107.4,97.9,+3.40
28,Texas,B12,20-11,+17.01,114.1,97.1,66.5,-.051,+6.62,107.0,100.4,-2.46
29,Southern Illinois,MVC,27-8,+16.75,109.1,92.4,63.4,+.015,+6.10,106.7,100.6,+4.17
30,Ohio St.,B10,20-12,+15.82,109.7,93.9,65.5,-.067,+5.63,105.8,100.1,-3.63
31,New Mexico,MWC,26-7,+15.54,112.8,97.3,65.4,-.002,-0.46,103.4,103.9,-10.69
32,Texas Tech,B12,22-11,+15.47,110.3,94.8,69.0,+.037,+8.93,108.8,99.9,-3.94
33,Vanderbilt,SEC,20-14,+15.31,111.0,95.7,65.8,-.053,+6.82,106.4,99.6,-0.02
34,Mississippi St.,SEC,23-11,+15.25,109.3,94.0,68.1,+.038,+6.49,106.9,100.4,-1.84
35,West Virginia,BE,24-11,+15.00,114.1,99.1,63.6,+.082,+9.14,108.6,99.5,-7.33
36,Milwaukee,Horz,26-6,+14.69,110.1,95.4,68.8,+.079,+2.31,104.6,102.3,+7.63
37,Maryland,ACC,19-13,+14.62,109.3,94.7,74.5,-.034,+8.07,107.4,99.3,-5.23
38,George Washington,A10,22-8,+14.41,109.9,95.5,70.8,-.013,+0.49,103.6,103.1,+0.84
39,Creighton,MVC,23-11,+14.33,114.3,100.0,63.1,-.033,+4.44,104.9,100.4,-1.69
40,Pacific,BW,27-4,+14.08,114.5,100.5,63.6,+.091,+0.66,103.1,102.4,+1.74
41,Minnesota,B10,21-11,+14.06,104.0,89.9,67.3,+.016,+6.18,106.0,99.8,-3.99
42,LSU,SEC,20-10,+13.80,113.9,100.1,66.7,+.070,+7.49,107.0,99.5,+0.64
43,Vermont,AE,25-7,+13.53,111.3,97.8,64.7,+.032,-1.71,100.7,102.4,+5.11
44,Air Force,MWC,18-12,+13.40,112.2,98.9,54.3,-.084,+2.63,104.4,101.8,-1.50
45,Northern Iowa,MVC,21-11,+13.36,112.2,98.9,64.5,-.035,+5.44,105.8,100.3,+1.09
46,Texas A&M,B12,21-10,+13.34,112.3,98.9,64.9,+.007,+4.05,105.0,100.9,-16.29
47,Wichita St.,MVC,22-10,+13.15,113.6,100.5,64.4,-.013,+4.74,105.6,100.9,-0.68
48,Iowa St.,B12,19-12,+13.02,103.1,90.1,66.8,+.003,+7.22,107.5,100.3,-3.06
49,Saint Joseph's,A10,24-12,+13.01,106.9,93.9,61.6,+.019,+3.55,104.3,100.8,+8.98
50,South Carolina,SEC,20-13,+12.73,110.2,97.5,64.0,-.017,+6.91,106.2,99.3,-1.30
51,UAB,CUSA,22-11,+12.51,109.2,96.7,71.0,-.001,+4.75,105.5,100.7,+1.33
52,Georgetown,BE,19-13,+12.45,112.2,99.8,59.2,-.005,+6.83,105.8,99.0,-5.50
53,Memphis,CUSA,22-16,+12.17,107.8,95.7,66.9,-.058,+4.51,105.4,100.9,+2.26
54,Charlotte,CUSA,21-8,+12.15,111.6,99.5,70.6,+.042,+3.68,104.9,101.2,-1.74
55,Nevada,WAC,25-7,+12.11,104.0,91.8,65.7,+.045,+1.10,104.5,103.4,+0.35
56,Arkansas,SEC,18-12,+11.98,106.2,94.2,65.4,-.063,+2.84,104.9,102.1,-9.99
57,Clemson,ACC,16-16,+11.92,105.6,93.7,69.7,-.052,+9.70,107.5,97.8,-3.17
58,UTEP,WAC,27-8,+11.62,112.7,101.1,65.9,+.015,-0.68,102.2,102.9,-5.30
59,Notre Dame,BE,17-12,+11.54,109.9,98.3,64.3,-.041,+6.58,106.8,100.2,-8.10
60,Southwest Missouri St.,MVC,19-13,+11.42,108.2,96.8,68.8,-.044,+5.06,106.4,101.3,-1.68
61,Providence,BE,14-17,+11.36,111.2,99.8,68.7,-.092,+9.76,108.8,99.0,+3.08
62,DePaul,CUSA,20-11,+11.29,111.8,100.5,62.5,-.000,+3.70,104.7,101.0,-0.94
63,Western Michigan,MAC,20-13,+11.14,111.6,100.4,64.9,-.067,+3.27,105.3,102.0,+1.87
64,Miami OH,MAC,19-11,+11.08,106.0,94.9,60.7,+.008,+5.09,107.0,101.9,+7.16
65,Indiana,B10,15-14,+11.00,109.2,98.2,61.7,+.011,+9.93,107.2,97.2,+7.36
66,Holy Cross,Pat,25-7,+10.97,104.7,93.8,63.5,+.012,-4.27,99.2,103.4,+0.39
67,Miami FL,ACC,16-13,+10.83,111.4,100.5,64.4,-.006,+7.50,106.7,99.2,-7.20
68,UCLA,P10,18-11,+10.74,107.8,97.1,69.2,+.036,+6.73,106.7,100.0,-0.43
69,Stanford,P10,18-13,+10.63,106.6,95.9,67.1,+.049,+8.47,107.5,99.1,+4.14
70,Arizona St.,P10,18-14,+10.32,111.1,100.8,68.6,-.050,+5.16,105.6,100.5,-4.68
71,Kansas St.,B12,17-12,+10.14,109.9,99.8,63.4,-.012,+6.41,106.2,99.8,-6.33
72,Akron,MAC,19-10,+10.10,106.0,95.9,66.2,-.014,+2.55,105.7,103.2,-1.97
73,Old Dominion,CAA,28-6,+10.04,104.7,94.6,66.4,+.049,-3.20,101.0,104.2,-3.98
74,Louisiana Lafayette,SB,20-11,+9.91,107.1,97.2,67.6,+.037,+2.67,104.8,102.2,+9.12
75,Oral Roberts,MCon,25-8,+9.88,107.0,97.1,69.7,-.013,-2.52,103.4,105.9,+2.65
76,Buffalo,MAC,23-10,+9.87,107.4,97.5,68.6,+.056,+3.27,105.5,102.2,-2.24
77,Penn,Ivy,20-9,+9.60,102.1,92.5,68.2,+.034,-1.72,101.8,103.5,+3.31
78,Saint Mary's,WCC,25-9,+9.41,106.8,97.4,64.9,+.080,+3.04,105.2,102.2,-0.59
79,Washington St.,P10,12-16,+9.14,96.0,86.9,57.8,-.048,+8.67,108.5,99.8,+5.63
80,Nebraska,B12,14-14,+9.13,105.2,96.1,64.9,-.082,+5.73,105.5,99.7,-6.91
81,Xavier,A10,17-12,+9.05,111.5,102.4,63.1,-.087,+0.76,103.1,102.3,+3.06
82,Tennessee,SEC,14-17,+8.89,110.0,101.1,65.0,-.052,+8.95,107.2,98.2,+0.41
83,Kent St.,MAC,20-13,+8.65,106.6,98.0,65.4,+.001,+4.45,106.0,101.5,+5.92
84,Temple,A10,16-14,+8.53,109.4,100.9,60.3,-.044,+4.94,105.3,100.3,+14.45
85,Ohio,MAC,21-11,+8.29,109.8,101.5,65.7,+.042,+2.72,104.9,102.2,-4.24
86,Western Kentucky,SB,22-9,+8.03,112.8,104.8,66.4,-.022,-0.33,102.8,103.1,-1.75
87,Denver,SB,20-11,+7.98,107.9,99.9,66.6,-.054,+0.32,102.9,102.5,+1.89
88,Toledo,MAC,16-13,+7.85,107.4,99.5,65.7,-.028,+4.17,105.6,101.4,+5.75
89,Virginia,ACC,14-15,+7.47,107.1,99.7,68.0,+.059,+11.11,109.5,98.4,+1.06
90,UNLV,MWC,17-14,+7.04,107.3,100.2,69.1,+.030,+6.03,106.8,100.8,+3.02
91,Rice,WAC,19-12,+7.02,107.2,100.1,66.9,+.007,+2.55,104.2,101.7,+4.07
92,Boston University,AE,20-9,+6.83,100.7,93.9,62.0,+.022,-3.28,99.9,103.2,-0.67
93,Oregon,P10,14-13,+6.73,107.0,100.3,66.3,+.026,+7.00,106.5,99.5,-0.39
94,Virginia Tech,ACC,16-14,+6.70,104.9,98.2,65.9,+.036,+7.47,106.1,98.6,-12.62
95,Bucknell,Pat,23-10,+6.69,102.2,95.6,63.1,+.063,-2.34,101.4,103.7,+2.28
96,Ball St.,MAC,15-13,+6.59,109.0,102.4,65.8,-.017,+4.33,106.3,102.0,+3.79
97,TCU,CUSA,21-14,+6.59,103.2,96.6,68.0,+.047,+4.51,105.1,100.6,-3.39
98,Marquette,CUSA,19-12,+6.57,109.6,103.0,61.2,+.051,+3.05,104.1,101.0,-3.19
99,Cal St. Northridge,BW,18-13,+6.56,103.3,96.7,68.5,-.069,-0.92,102.7,103.7,+1.19
100,Houston,CUSA,18-14,+6.55,106.4,99.8,66.3,+.037,+4.52,105.1,100.5,+2.42
101,Missouri,B12,16-17,+6.37,104.2,97.8,64.1,+.049,+8.14,108.1,100.0,+2.30
102,Florida St.,ACC,12-19,+6.24,105.1,98.9,65.4,-.067,+10.23,108.2,98.0,-0.84
103,Hofstra,CAA,21-9,+6.18,107.3,101.1,66.7,+.021,-2.68,100.3,103.0,-4.55
104,Drexel,CAA,17-12,+5.63,106.3,100.7,65.0,-.024,-0.36,102.3,102.6,+4.83
105,St. John's,BE,9-18,+5.46,101.6,96.1,66.3,-.079,+8.58,108.3,99.7,-1.14
106,Niagara,MAAC,20-10,+5.43,115.2,109.8,70.1,-.027,-3.52,101.3,104.8,+0.83
107,Mississippi,SEC,14-17,+4.99,102.8,97.8,63.4,-.029,+6.30,107.0,100.7,-3.87
108,Winthrop,BSth,27-6,+4.97,101.5,96.5,63.1,+.065,-7.69,99.6,107.3,+2.26
109,Seton Hall,BE,12-16,+4.96,100.4,95.4,64.2,-.035,+6.46,106.8,100.3,-5.25
110,Wyoming,MWC,15-13,+4.83,105.2,100.4,68.7,+.044,+4.54,105.1,100.5,+0.61
111,Dayton,A10,18-11,+4.72,102.2,97.5,63.0,-.001,-1.00,102.5,103.5,-0.64
112,Murray St.,OVC,17-11,+4.69,108.6,103.9,63.4,-.059,-2.65,102.8,105.5,+5.86
113,Colorado,B12,14-16,+4.67,107.4,102.7,69.5,+.060,+8.50,107.5,99.0,-0.27
114,Davidson,SC,23-9,+4.61,107.8,103.2,65.4,+.111,-0.46,101.6,102.0,+9.66
115,USC,P10,12-17,+4.57,107.7,103.2,70.3,-.018,+7.11,106.4,99.3,+1.44
116,Middle Tennessee,SB,19-12,+4.53,104.8,100.2,65.1,-.019,-1.38,102.4,103.8,-2.42
